Processor model	Implict	Type	Opcode	Mnemonic	2200 I INSTRUCTION TIME	2200 II INSTRUCTION TIME	5500 INSTRUCTION TIME
2200-1	0	1	006	LA	16	3.2	1.8
2200-1	0	1	016	LB	16	3.2	1.8
2200-1	0	1	026	LC	16	3.2	1.8
2200-1	0	1	036	LD	16	3.2	1.8
2200-1	0	1	046	LE	16	3.2	1.8
2200-1	0	1	056	LH	16	3.2	1.8
2200-1	0	1	066	LL	16	3.2	1.8
5500	0	1	076	LX	0	0	1.8
2200-1	0	0	300	NOP	16	3.2	1.2
2200-1	0	0	301	LAB	16	3.2	1.2
2200-1	0	0	302	LAC	16	3.2	1.2
2200-1	0	0	303	LAD	16	3.2	1.2
2200-1	0	0	304	LAE	16	3.2	1.2
2200-1	0	0	305	LAH	16	3.2	1.2
2200-1	0	0	306	LAL	16	3.2	1.2
2200-1	0	0	307	LAM	520	4.8	2.6
5500	62	0	307	LAM BC	0	0	3.4
5500	174	0	307	LAM DE	0	0	3.4
5500	22	0	307	LAM XA	0	0	3.4
2200-1	0	0	310	LBA	16	3.2	1.2
2200-1	0	0	311	NOP	16	3.2	1.2
2200-1	0	0	312	LBC	16	3.2	1.2
2200-1	0	0	313	LBD	16	3.2	1.2
2200-1	0	0	314	LBE	16	3.2	1.2
2200-1	0	0	315	LBH	16	3.2	1.2
2200-1	0	0	316	LBL	16	3.2	1.2
2200-1	0	0	317	LBM	520	4.8	2.6
5500	62	0	317	LBM BC	0	0	3.4
5500	174	0	317	LBM DE	0	0	3.4
5500	22	0	317	LAM XA	0	0	3.4
2200-1	0	0	320	LCA	16	3.2	1.2
2200-1	0	0	321	LCB	16	3.2	1.2
2200-1	0	0	322	NOP	16	3.2	1.2
2200-1	0	0	323	LCD	16	3.2	1.2
2200-1	0	0	324	LCE	16	3.2	1.2
2200-1	0	0	325	LCH	16	3.2	1.2
2200-1	0	0	326	LCL	16	3.2	1.2
2200-1	0	0	327	LCM	520	4.8	2.6
5500	62	0	327	LCM BC	0	0	3.4
5500	174	0	327	LCM DE	0	0	3.4
5500	22	0	327	LCM XA	0	0	3.4
2200-1	0	0	330	LDA	16	3.2	1.2
2200-1	0	0	331	LDB	16	3.2	1.2
2200-1	0	0	332	LDC	16	3.2	1.2
2200-1	0	0	333	NOP	16	3.2	1.2
2200-1	0	0	334	LDE	16	3.2	1.2
2200-1	0	0	335	LDH	16	3.2	1.2
2200-1	0	0	336	LDL	16	3.2	1.2
2200-1	0	0	337	LDM	520	4.8	2.6
5500	62	0	337	LDM BC	0	0	3.4
5500	174	0	337	LDM DE	0	0	3.4
5500	22	0	337	LDM XA	0	0	3.4
2200-1	0	0	340	LEA	16	3.2	1.2
2200-1	0	0	341	LEB	16	3.2	1.2
2200-1	0	0	342	LEC	16	3.2	1.2
2200-1	0	0	343	LED	16	3.2	1.2
2200-1	0	0	344	NOP	16	3.2	1.2
2200-1	0	0	345	LEH	16	3.2	1.2
2200-1	0	0	346	LEL	16	3.2	1.2
2200-1	0	0	347	LEM	520	4.8	2.6
5500	62	0	347	LEM BC	0	0	3.4
5500	174	0	347	LEM DE	0	0	3.4
5500	22	0	347	LEM XA	0	0	3.4
2200-1	0	0	350	LHA	16	3.2	1.2
2200-1	0	0	351	LHB	16	3.2	1.2
2200-1	0	0	352	LHC	16	3.2	1.2
2200-1	0	0	353	LHD	16	3.2	1.2
2200-1	0	0	354	LHE	16	3.2	1.2
2200-1	0	0	355	NOP	16	3.2	1.2
2200-1	0	0	356	LHL	16	3.2	1.2
2200-1	0	0	357	LHM	520	4.8	2.6
5500	62	0	357	LHM BC	0	0	3.4
5500	174	0	357	LHM DE	0	0	3.4
5500	22	0	357	LHM XA	0	0	3.4
2200-1	0	0	360	LLA	16	3.2	1.2
2200-1	0	0	361	LLB	16	3.2	1.2
2200-1	0	0	362	LLC	16	3.2	1.2
2200-1	0	0	363	LLD	16	3.2	1.2
2200-1	0	0	364	LLE	16	3.2	1.2
2200-1	0	0	365	LLH	16	3.2	1.2
2200-1	0	0	366	NOP	16	3.2	1.2
2200-1	0	0	367	LLM	520	4.8	2.6
5500	62	0	367	LLM BC	0	0	3.4
5500	174	0	367	LLM DE	0	0	3.4
5500	22	0	367	LLM XA	0	0	3.4
2200-1	0	0	370	LMA	16	3.2	1.2
2200-1	0	0	371	LMB	16	3.2	1.2
2200-1	0	0	372	LMC	16	3.2	1.2
2200-1	0	0	373	LMD	16	3.2	1.2
2200-1	0	0	374	LME	16	3.2	1.2
2200-1	0	0	375	LMH	16	3.2	1.2
2200-1	0	0	376	LML	16	3.2	1.2
2200-1	0	0	377	HALT	0	0	0
5500	62	0	370	LMA BC	0	0	3.4
5500	62	0	371	LMB BC	0	0	3.4
5500	62	0	372	LMC BC	0	0	3.4
5500	62	0	373	LMD BC	0	0	3.4
5500	62	0	374	LME BC	0	0	3.4
5500	62	0	375	LMH BC	0	0	3.4
5500	62	0	376	LML BC	0	0	3.4
5500	174	0	370	LMA DE	0	0	3.4
5500	174	0	371	LMB DE	0	0	3.4
5500	174	0	372	LMC DE	0	0	3.4
5500	174	0	373	LMD DE	0	0	3.4
5500	174	0	374	LME DE	0	0	3.4
5500	174	0	375	LMH DE	0	0	3.4
5500	174	0	376	LML DE	0	0	3.4
2200-1	0	1	004	AD	16	4.8	2.2
5500	111	1	004	AD B	0	0	3.2
5500	62	1	004	AD C	0	0	3.2
5500	113	1	004	AD D	0	0	3.2
5500	174	1	004	AD E	0	0	3.2
5500	115	1	004	AD H	0	0	3.2
5500	176	1	004	AD L	0	0	3.2
5500	22	1	004	AD X	0	0	3.2
2200-1	0	0	200	ADA	16	3.2	1.4
5500	111	0	200	ADAB	0	0	2.4
5500	62	0	200	ADAC	0	0	2.4
5500	113	0	200	ADAD	0	0	2.4
5500	174	0	200	ADAE	0	0	2.4
5500	115	0	200	ADAH	0	0	2.4
5500	176	0	200	ADAL	0	0	2.4
5500	22	0	200	ADAX	0	0	2.4
2200-1	0	0	201	ADB	16	3.2	1.4
5500	111	0	201	ADBB	0	0	2.4
5500	62	0	201	ADBC	0	0	2.4
5500	113	0	201	ADBD	0	0	2.4
5500	174	0	201	ADBE	0	0	2.4
5500	115	0	201	ADBH	0	0	2.4
5500	176	0	201	ADBL	0	0	2.4
5500	22	0	201	ADBX	0	0	2.4
2200-1	0	0	202	ADC	16	3.2	1.4
5500	111	0	202	ADCB	0	0	2.4
5500	62	0	202	ADCC	0	0	2.4
5500	113	0	202	ADCD	0	0	2.4
5500	174	0	202	ADCE	0	0	2.4
5500	115	0	202	ADCH	0	0	2.4
5500	176	0	202	ADCL	0	0	2.4
5500	22	0	202	ADCX	0	0	2.4
2200-1	0	0	203	ADD	16	3.2	1.4
5500	111	0	203	ADDB	0	0	2.4
5500	62	0	203	ADDC	0	0	2.4
5500	113	0	203	ADDD	0	0	2.4
5500	174	0	203	ADDE	0	0	2.4
5500	115	0	203	ADDH	0	0	2.4
5500	176	0	203	ADDL	0	0	2.4
5500	22	0	203	ADDX	0	0	2.4
2200-1	0	0	204	ADE	16	3.2	1.4
5500	111	0	204	ADEB	0	0	2.4
5500	62	0	204	ADEC	0	0	2.4
5500	113	0	204	ADED	0	0	2.4
5500	174	0	204	ADEE	0	0	2.4
5500	115	0	204	ADEH	0	0	2.4
5500	176	0	204	ADEL	0	0	2.4
5500	22	0	204	ADEX	0	0	2.4
2200-1	0	0	205	ADH	16	3.2	1.4
5500	111	0	205	ADHB	0	0	2.4
5500	62	0	205	ADHC	0	0	2.4
5500	113	0	205	ADHD	0	0	2.4
5500	174	0	205	ADHE	0	0	2.4
5500	115	0	205	ADHH	0	0	2.4
5500	176	0	205	ADHL	0	0	2.4
5500	22	0	205	ADHX	0	0	2.4
2200-1	0	0	206	ADL	16	3.2	1.4
5500	111	0	206	ADLB	0	0	2.4
5500	62	0	206	ADLC	0	0	2.4
5500	113	0	206	ADLD	0	0	2.4
